"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","keyboard events","chromium","2026-09-05","failed","2026-09-05","","key.spec.js","",""
"","7","alert popup handling","chromium","2026-09-05","failed","2026-09-05","","alert.spec.js","",""
"","17","Change Amazon language from English to Malayalam","chromium","2026-09-05","failed","2026-09-05","","mousehover.spec.js","",""
"","8","get started link","chromium","2026-09-05","failed","2026-09-05","","example.spec.js","",""
"","5","drag and drop action","chromium","2026-09-05","failed","2026-09-05","","draganddrop.spec.js","",""
"","6","test","chromium","2026-09-05","failed","2026-09-05","","codegen.spec.js","",""
"","9","test","chromium","2026-09-05","failed","2026-09-05","","face.spec.js","",""
"","8","verify drag and drop","chromium","2026-09-05","failed","2026-09-05","","drag.spec.js","",""
"","10","read the data from json file","chromium","2026-09-05","failed","2026-09-05","","login.spec.js","",""
"","6","dropdown","chromium","2026-09-05","failed","2026-09-05","","dropdown1.spec.js","",""
"","10","OrangeHRM Login","chromium","2026-09-05","failed","2026-09-05","","sample.spec.js","",""
"","7","double click","chromium","2026-09-05","failed","2026-09-05","","click.spec.js","",""
"","10","verify error message","chromium","2026-09-05","failed","2026-09-05","","invalid.spec.js","",""
"","7","test login page","chromium","2026-09-05","failed","2026-09-05","","ong.spec.js","",""
"","7","keyboard events","chromium","2026-09-05","failed","2026-09-05","","keyboard.spec.js","",""
"","8","login test","chromium","2026-09-05","failed","2026-09-05","","first.spec.js","",""
"","11","mouse hover action","chromium","2026-09-05","failed","2026-09-05","","mouse.spec.js","",""
"","7","test","chromium","2026-09-05","failed","2026-09-05","","code1.spec.js","",""
"","5","full page screenshot","chromium","2026-09-05","failed","2026-09-05","","ScreenShort1.spec.js","",""
"","3","verify file uploaad","chromium","2026-09-05","failed","2026-09-05","","ulpoad.spec.js","",""
"","6","has title","chromium","2026-09-05","failed","2026-09-05","","example.spec.js","",""
"","9","Handle all JavaScript alerts","chromium","2026-09-05","failed","2026-09-05","","auto.spec.js","",""
"","3","test","chromium","2026-09-05","failed","2026-09-05","","code.spec.js","",""
"","6","frame handling","chromium","2026-09-05","failed","2026-09-05","","frame.spec.js","",""
"","9","working with multiple tabs","chromium","2026-09-05","failed","2026-09-05","","multitabs.spec.js","",""
"","8","dropdown","chromium","2026-09-05","failed","2026-09-05","","am.spec.js","",""
"","4","Handling Autosuggestion","chromium","2026-09-05","failed","2026-09-05","","suggestion.spec.js","",""
"","8","page screenshort","chromium","2026-09-05","failed","2026-09-05","","screenshort.spec.js","",""
"","15","checks the registration page","chromium","2026-09-05","failed","2026-09-05","","reg.spec.js","",""
"","7","double click","chromium","2026-09-05","failed","2026-09-05","","db.spec.js","",""
"","5","test","chromium","2026-09-05","failed","2026-09-05","","facebook.spec.js","",""
"","6","dropdown","chromium","2026-09-05","failed","2026-09-05","","Dropdown.spec.js","",""
